Core;Lat.;Long.;Depth (m);Modern SSST (°C);E-LGM SSST (°C);Delta LGM/ mod. SSST (°C);Modern SI pres. (m/yr);E-LGM SI pres. (m/yr);Delta LGM/ mod. SI (m/yr);Modern Feb. SI conc. (%);E-LGM Feb. SI conc. (%);Delta LGM/ mod. Feb. SI conc. (%);Modern Sept. SI conc. (%);E-LGM Sept. SI conc. (%);Delta LGM/ mod. Sept. SI conc. (%);E-LGM SI ind. F.c + F.c (%);E-LGM SI ind F.o. (%);E-LGM SI pres.;Estimation method;E-LGM CQL;EQL;AQL;Ref.
ELT11-1;−54.91;−114.7;3475;6.37;5.7;−0.7;0;0;0;0;0;0;0;2.8;2.8;0;0;0;MAT;4;1;2;1
ELT11-2;−56.06;−115.06;3109;5.54;5.5;0;0;0;0;0;0;0;0;2.6;2.6;0;0;0;MAT;4;1;2;1
ELT11-3;−56.9;−115.24;4023;4.99;3.4;−1.6;0;0.4;0.4;0;0;0;0;12;12;0;0.3;0;MAT;4;1;2;1
ELT11-4;−57.83;−115.21;4773;4.46;4.2;−0.3;0;1.1;1.1;0;0;0;0;20;20;0;0;1;MAT;4;1;2;1
ELT14-6;−57.02;−160.09;4520;5.57;3.4;−2.2;0;1;1;0;0;0;0;22.4;22.4;0;0;1;MAT;4;1;2;1
ELT15-12;−58.68;−108.8;4572;4.87;4;−0.9;0;0;0;0;0;0;0;2.6;2.6;0;0;0;MAT;4;1;2;1
ELT15-4;−59.02;−99.76;4910;5.45;4.7;−0.7;0;0;0;0;0;0;0;2.6;2.6;0;0;0;MAT;4;1;2;1
ELT15-6;−59.97;−101.32;4517;4.63;4.8;0.2;0;0.4;0.4;0;0;0;0;9.2;9.2;0;0;0;MAT;4;1;2;1
ELT17-9;−63.08;−135.12;4848;1.16;0.9;−0.3;0.5;2.8;2.3;0;0;0;28;49.2;21.2;0;0;1;MAT;4;1;2;1
ELT19-7;−62.16;−109.09;5051;3.01;1.6;−1.4;0;1.9;1.9;0;0;0;0;34;34;0;0;1;MAT;2;1;1;1
ELT20-10;−60.22;−127.03;4471;3.68;2.7;−1.0;0;0;0;0;0;0;0;7;7;0;0.9;0;MAT;4;1;2;1
ELT35-15;−52.94;116.99;3764;7.49;3.9;−3.6;0;0;0;0;0;0;0;2.6;2.6;0;0;0;MAT;4;1;2;1
ELT36-36;−60.39;157.53;2816;2.79;1.5;−1.3;0;2.5;2.5;0;0;0;0;40;40;2.8;1.9;1;MAT;4;1;2;1
ELT39-13;−45.01;125.98;4535;12.3;5;−7.3;0;0;0;0;0;0;0;0;0;0;0;0;MAT;4;1;2;1
ELT39-18;−48.03;126.13;4612;10.56;4.3;−6.3;0;0;0;0;0;0;0;0;0;0;0;0;MAT;4;1;2;1
ELT39-21;−48.86;126.02;4078;9.93;3.5;−6.4;0;0;0;0;0;0;0;0;0;0;0.3;0;MAT;4;1;2;1
ELT45-29;−44.88;106.52;3819;10.39;5.6;−4.8;0;0;0;0;0;0;0;0;0;0;0;0;MAT;3;1;2;1
ELT45-35;−53.5;111.33;3840;4.51;2.9;−1.7;0;1.1;1.1;0;0;0;0;22.8;22.8;0;0;1;MAT;4;1;2;1
ELT45-63;−53.44;114.26;3917;5.04;1.5;−3.5;0;2;2;0;0;0;0;37.2;37.2;0;0.3;1;MAT;4;1;2;1
ELT45-64;−52.48;114.09;3822;5.37;1.7;−3.7;0;0.9;0.9;0;0;0;0;22.6;22.6;0.3;0.3;1;MAT;4;1;2;1
ELT45-79;−45.06;114.37;4097;10.58;5.2;−5.4;0;0;0;0;0;0;0;0;0;0;0;0;MAT;4;1;2;1
ELT48-27;−38.54;79.87;3277;17.07;16.3;−0.8;0;0;0;0;0;0;0;0;0;0;0;0;MAT;4;3;2;1
ELT49-6;−51.01;109.99;3325;5.44;1.6;−3.8;0;1.7;1.7;0;0;0;0;33.4;33.4;0;0.3;1;MAT;4;1;2;1
ELT49-7;−53.04;110.05;3590;4.45;1.4;−3.1;0;2.7;2.7;0;0;0;0;45.2;45.2;0.3;0.3;1;MAT;4;1;2;1
ELT49-8;−55.07;110.02;3692;3.89;1.1;−2.8;0;2.7;2.7;0;0;0;0;45.2;45.2;0;0;1;MAT;4;1;2;1
ELT50-11;−55.95;104.95;3921;3.3;1.7;−1.6;0;1.8;1.8;0;0;0;0;34.6;34.6;0.9;0.3;1;MAT;4;1;2;1
IO1277-10;−52.02;20.47;2740;2.19;1.4;−0.8;0;3.02;3.02;0;0;0;0;37.6;37.6;1.4;2.1;1;MAT;4;1;2;1
IO1578-4;−59.23;−19.73;4217;0.58;0.5;0;5;4.83;−0.17;0;0;0;64;62.33;−1.67;0.4;0.8;1;MAT;4;3;2;1
KR88-22;−64.67;119.51;3140;0.59;0.4;−0.2;7;7;0;0;1;1;73;81.4;8.4;1.3;8.2;1;MAT;3;1;2;1
KR88-27;−63.65;101.15;1210;0.03;0.4;0.4;8;7;−1;0;1;1;88;81.4;−6.6;2.2;9.3;1;MAT;3;1;2;1
KR88-29;−62.49;95.89;3790;0.87;0.4;−0.5;6;6.7;0.7;0;0.4;0.4;83;76.8;−6.2;1.9;3.4;1;MAT;3;1;2;1
MD24-KK63;−51.91;42.88;2550;3.32;0.9;−2.5;0;4.8;4.8;0;0.8;0.8;0;55.2;55.2;3.7;1.6;1;MAT;1;1;1;1
MD73-026;−44.98;53.28;3429;8.99;7.7;−1.3;0;0;0;0;0;0;0;0;0;0;0;0;MAT;2;2;1;1
MD80-304;−51.06;67.72;1950;4.29;2.1;−2.2;0;2;2;0;0.4;0.4;0;32;32;1.3;1.6;1;MAT;2;1;1;1
MD82-424;−54.09;−0.35;2350;1.43;0.6;−0.8;0;5.4;5.4;0;0.4;0.4;5;61.6;56.6;5.2;3.9;1;MAT;2;2;1;1
MD82-434;−58.85;−16.65;3640;0.62;0.7;0.1;5;4.8;−0.2;0;0.8;0.8;64;62.2;−1.8;0;1.3;1;MAT;3;2;2;1
MD84-527;−43.49;51.32;3262;10.51;8.2;−2.3;0;0;0;0;0;0;0;0;0;0;0;0;MAT;1;1;1;1
MD84-529;−48.89;61.66;2600;5.64;3;−2.7;0;0;0;0;0;0;0;2.6;2.6;0;0;0;MAT;4;1;2;1
MD84-551;−55;73.26;1504;2.49;0.9;−1.6;0;4.3;4.3;0;0.4;0.4;0;49.6;49.6;2.2;1;1;MAT;1;1;1;1
MD84-552;−54.91;73.84;1780;2.42;1.1;−1.3;0;1.9;1.9;0;0;0;0;34.8;34.8;0.9;0;1;MAT;1;1;1;1
MD88-769;−46.06;90.09;3420;9.11;7.2;−1.9;0;0;0;0;0;0;0;0;0;0;0;0;MAT;1;2;1;1
MD88-770;−46.02;96.43;3290;8.63;5.7;−3.0;0;0;0;0;0;0;0;0;0;0;0;0;MAT;2;1;1;1
MD88-773;−52.9;109.85;2460;4.47;2.3;−2.2;0;1.37;1.37;0;0;0;0;23.72;23.72;0;0.6;1;MAT;2;2;1;1
MD88-784;−54.19;144.79;2800;5.6;3.5;−2.1;0;1.8/1.2;1.8/1.2;0;0.1;0.1;0;13.4;13.4;2.2;0;1;MAT/GAM;2;1;1;2
MD88-787;−56.38;145.3;3020;3.75;2.33;−1.4;0;0.8/4.3;0.8/4.3;0;0.2;0.2;0;19;19;2.5;0.6;1;MAT/GAM;2;1;1;2
